0;0xaae6;FUN_InstallCrack
279;0xb7ee;SYS_GetMouse
280;0xb812;SYS_Joystick
281;0xb884;io_shiftkey
282;0xb884;io_shiftkey
283;0xb884;io_shiftkey
284;0xb7ee;SYS_GetMouse
285;0xb812;SYS_Joystick
286;0xb884;io_shiftkey
287;0xb884;io_shiftkey
288;0xb884;io_shiftkey
289;0xb7ee;SYS_GetMouse
290;0xb812;SYS_Joystick
291;0xb884;io_shiftkey
292;0xb884;io_shiftkey
293;0xb884;io_shiftkey
294;0xb770;setphysic
295;0xb7ee;SYS_GetMouse
296;0xb812;SYS_Joystick
297;0xb884;io_shiftkey
298;0xb884;io_shiftkey
299;0xb884;io_shiftkey
300;0xb7ee;SYS_GetMouse
301;0xb812;SYS_Joystick
302;0xb884;io_shiftkey
303;0xb884;io_shiftkey
304;0xb884;io_shiftkey
305;0xb7ee;SYS_GetMouse
306;0xb812;SYS_Joystick
307;0xb884;io_shiftkey
308;0xb884;io_shiftkey
309;0xb884;io_shiftkey
310;0xb770;setphysic
311;0xb7ee;SYS_GetMouse
312;0xb812;SYS_Joystick
313;0xb884;io_shiftkey
314;0xb884;io_shiftkey
315;0xb884;io_shiftkey
316;0xb7ee;SYS_GetMouse
317;0xb812;SYS_Joystick
318;0xb884;io_shiftkey
319;0xb884;io_shiftkey
320;0xb884;io_shiftkey
321;0xb7ee;SYS_GetMouse
322;0xb812;SYS_Joystick
323;0xb884;io_shiftkey
324;0xb884;io_shiftkey
325;0xb884;io_shiftkey
326;0xb770;setphysic
327;0xb7ee;SYS_GetMouse
328;0xb812;SYS_Joystick
329;0xb884;io_shiftkey
330;0xb884;io_shiftkey
331;0xb884;io_shiftkey
332;0xb7ee;SYS_GetMouse
333;0xb812;SYS_Joystick
334;0xb884;io_shiftkey
335;0xb884;io_shiftkey
336;0xb884;io_shiftkey
337;0xb7ee;SYS_GetMouse
338;0xb812;SYS_Joystick
339;0xb884;io_shiftkey
340;0xb884;io_shiftkey
